generation,best_fitness,avg_fitness,worst_fitness,std_dev_fitness,best_win_rate,avg_win_rate,avg_game_score,avg_game_turns,elite_dna_sample,time_elapsed_sec,sigma,games_per_candidate
1,8.0867,0.9262,-2.975,3.2159,0.5417,0.142,7.7931,63.8292,[1.5  1.01 0.22 0.63],9.33,0.35,16
2,10.8717,5.4016,-2.6463,3.1131,0.75,0.3764,12.6389,60.4927,[ 0.15  0.48 -0.74 -0.21],9.4,0.3479,16
3,8.3767,5.0232,-0.245,1.8026,0.5833,0.3576,12.3681,64.6785,[ 1.5   0.31 -0.31 -0.93],9.52,0.3458,16
4,10.3417,7.0456,-1.8025,2.7142,0.7083,0.4986,12.6979,64.7493,[ 0.14  1.13 -0.31 -0.75],9.11,0.3437,16
5,11.7075,7.6327,-1.705,2.5346,0.7917,0.5198,13.759,62.3896,[0.42 0.63 0.03 0.2 ],9.33,0.3416,16
6,8.753,5.283,-2.4638,1.7397,0.5833,0.3788,12.341,63.1302,[ 0.72  0.88 -0.66 -0.15],9.42,0.3395,16
7,9.3825,5.4881,-2.5425,2.3595,0.6458,0.3896,12.4757,59.9917,[1.67 1.01 0.03 0.2 ],9.2,0.3374,16
8,9.0525,6.7097,-2.1263,2.4004,0.625,0.4681,13.1937,63.4069,[0.42 0.63 0.03 0.11],9.84,0.3353,16
9,11.85,8.863,-2.0875,2.901,0.8125,0.6045,14.0976,60.8816,[0.42 1.01 0.03 0.2 ],9.97,0.3332,16
10,11.5292,8.9295,-1.1825,1.8489,0.7917,0.6045,14.4781,61.2812,[1.52 1.01 0.03 0.2 ],9.88,0.3311,16
11,10.0888,7.0512,-1.4,2.008,0.7083,0.4929,13.0306,58.8878,[0.42 1.01 0.03 0.11],9.08,0.329,16
12,10.4792,7.8426,-2.6537,2.008,0.7292,0.5365,13.4104,61.6823,[0.42 1.01 0.18 0.04],9.67,0.3269,16
13,11.4078,8.7133,-2.9475,2.245,0.7917,0.5925,14.5847,59.0087,[0.42 1.01 0.03 0.49],9.51,0.3248,16
14,11.1717,9.218,-1.93,2.5124,0.75,0.6243,14.5535,61.2062,[0.42 1.01 0.03 0.49],9.71,0.3227,16
15,7.99,6.0201,-1.3662,1.2457,0.5625,0.413,13.1757,65.5528,[ 0.65  0.88 -0.36  0.2 ],9.9,0.3206,16
16,10.9042,8.3288,-1.725,2.556,0.75,0.5807,12.9476,65.308,[0.51 1.27 0.03 0.33],9.38,0.3185,16
17,8.7767,5.6331,-2.3325,1.9328,0.625,0.3899,12.3413,61.3587,[0.42 0.74 0.03 0.69],9.1,0.3164,16
18,9.2283,5.8861,-2.245,1.7035,0.625,0.3951,13.8177,62.3462,[ 0.45  0.36 -0.22  0.69],9.87,0.3143,16
19,8.7567,5.8561,-1.5162,1.7787,0.6042,0.4172,12.199,71.7257,[ 0.42  1.01 -0.1   0.22],9.69,0.3122,16
20,8.6858,5.3133,-1.7325,1.9844,0.625,0.375,12.5646,65.299,[ 0.39  0.44  0.03 -0.38],9.86,0.3101,16
21,9.8958,6.2047,0.6438,1.5076,0.6875,0.4146,13.8389,63.9847,[ 0.39  0.44 -0.16  0.2 ],9.97,0.308,16
22,9.9375,7.0475,-2.5625,2.507,0.6875,0.4878,13.5264,63.717,[0.65 0.74 0.37 0.77],9.65,0.3059,16
23,9.9563,7.3243,-1.375,2.1403,0.6667,0.4913,14.1396,61.8108,[0.4  0.36 0.12 0.2 ],11.06,0.3038,16
24,10.5975,7.0451,-1.5897,2.0983,0.7292,0.4826,13.1358,62.9882,[ 0.48  0.38 -0.12  0.69],9.79,0.3017,16
25,11.3992,6.9273,2.785,1.8577,0.7917,0.4719,13.8528,63.1017,[1.04 0.1  0.03 0.2 ],10.35,0.2996,16
26,11.7092,5.7607,-1.6713,2.1658,0.7708,0.4082,11.7944,63.4448,[0.79 0.38 0.03 0.2 ],11.34,0.2975,16
27,8.985,5.0052,-2.4188,2.6396,0.625,0.3606,12.0667,64.1559,[0.64 1.15 0.03 0.55],11.1,0.2954,16
28,11.13,8.8516,-1.9038,2.6507,0.75,0.6108,13.6417,62.6056,[0.64 1.15 0.03 0.28],9.72,0.2933,16
29,11.935,6.1367,-2.6513,2.0619,0.8125,0.425,12.9531,62.1191,[0.79 0.1  0.03 0.2 ],9.72,0.2912,16
30,9.8083,6.3699,-2.29,2.3905,0.6875,0.449,12.7906,64.3097,[ 0.51  0.63 -0.03  0.62],10.24,0.2891,16
31,9.155,5.4324,-2.5837,1.8298,0.6458,0.3977,11.8951,64.5903,[ 0.2  -0.12 -0.17  0.85],9.82,0.287,16
32,11.0583,7.5915,-2.9875,2.1654,0.75,0.5207,13.6642,64.2101,[0.69 1.34 0.61 0.45],9.63,0.2849,16
33,10.6689,6.9562,-2.925,2.373,0.7083,0.4852,13.125,62.2965,[ 0.95  1.15 -0.13 -0.15],9.85,0.2828,16
34,11.3637,7.3717,-2.3687,2.7362,0.7812,0.5194,12.9236,67.034,[ 1.25  1.69 -0.13 -0.25],9.27,0.2807,16
35,9.8283,6.0062,-2.4775,1.7853,0.6667,0.4316,12.2149,64.6205,[ 0.34 -0.83 -0.99  0.49],9.34,0.2786,16
36,10.8233,6.4817,-1.5225,2.0498,0.75,0.4396,13.0618,62.4156,[ 0.95  0.43  0.08 -0.15],9.76,0.2765,16
37,12.1113,8.8737,-0.3725,2.1428,0.8125,0.5943,14.326,62.4809,[ 0.69  0.66 -0.13 -0.39],9.5,0.2744,16
38,9.8767,7.6054,-2.695,1.9241,0.6667,0.5101,13.9892,60.325,[ 0.78  0.76 -0.03 -0.14],9.4,0.2723,16
39,11.6003,7.8716,-1.7462,2.0874,0.7917,0.5483,13.5625,62.8392,[ 0.9   0.24 -0.13  0.55],9.46,0.2702,16
40,9.84,7.5005,-2.2588,2.2498,0.6875,0.5271,13.8281,61.9076,[ 0.89  0.59 -0.13  0.19],9.51,0.2681,16
41,9.5458,7.0129,-2.0725,2.1726,0.6667,0.4938,12.9451,61.1097,[ 1.    0.07 -0.21  0.55],10.91,0.266,16
42,10.8492,7.2583,-2.1712,2.2821,0.75,0.503,13.1906,66.7969,[0.89 0.24 0.39 0.94],11.64,0.2639,16
43,10.96,7.4384,-0.3725,1.7024,0.75,0.5111,13.4524,65.2535,[0.89 0.24 0.39 0.94],10.3,0.2618,16
44,7.9296,5.8795,-2.565,1.5918,0.5833,0.4349,11.6031,65.3826,[0.89 0.96 0.39 0.21],9.88,0.2597,16
45,10.645,7.0417,-1.4175,2.2282,0.75,0.4997,12.6833,61.6514,[ 0.89  0.24 -0.    0.94],10.1,0.2576,16
46,11.6408,8.4415,-1.9975,2.8643,0.7917,0.5727,13.8708,60.3875,[0.87 0.59 0.39 0.94],9.82,0.2555,16
47,11.8325,9.6921,-1.2975,1.8971,0.8125,0.6632,14.225,61.6573,[0.89 0.02 0.05 0.  ],9.58,0.2534,16
48,11.7417,8.6285,-2.7712,2.6467,0.8125,0.5863,14.1024,63.6503,[0.57 0.24 0.23 0.83],9.9,0.2513,16
49,11.1125,10.0928,6.445,1.0392,0.75,0.6837,14.6427,61.6556,[0.89 1.18 0.46 0.81],10.12,0.2492,16
50,9.1875,8.2878,-1.4113,1.5759,0.625,0.5696,13.3819,62.7917,[0.76 0.98 0.46 1.06],10.28,0.2471,16
51,12.7863,11.2479,-2.7237,2.5251,0.875,0.7715,14.6128,62.2653,[0.89 0.68 0.18 1.06],9.93,0.245,16
52,7.9417,6.1717,4.8588,0.6137,0.5625,0.4215,12.499,66.6198,[0.76 0.98 0.18 0.8 ],9.49,0.2429,16
53,9.6817,8.0169,0.0562,1.6978,0.6667,0.5477,13.3396,60.9538,[0.89 0.77 0.46 1.06],9.49,0.2408,16
54,12.1825,8.522,3.1475,1.7035,0.8333,0.5856,13.7594,62.5382,[ 0.58  0.6   0.36 -0.48],9.79,0.2387,16
55,8.72,7.0364,-2.3725,1.5689,0.5833,0.4861,13.451,59.5198,[0.76 1.24 0.46 0.71],9.3,0.2366,16
56,9.4563,7.1851,-2.4975,2.2212,0.6667,0.5101,11.8736,67.1917,[0.76 1.09 0.46 1.06],10.31,0.2345,16
57,11.4828,8.7891,-2.37,1.7432,0.7917,0.5939,13.9368,59.8153,[0.76 1.24 0.46 1.06],10.12,0.2324,16
58,11.245,8.7718,-2.4112,2.1854,0.75,0.5828,15.0948,60.8799,[0.76 1.24 0.76 0.31],10.56,0.2303,16
59,9.1825,7.7149,-0.39,1.5446,0.625,0.5332,13.3556,60.6941,[0.76 1.56 0.76 0.52],10.01,0.2282,16
60,10.5167,7.616,-2.8113,2.2902,0.7083,0.5127,14.2122,60.3653,[1.21 1.56 0.76 0.52],10.54,0.2261,16
61,10.2117,7.9476,-0.9838,1.9096,0.7083,0.5517,13.5403,61.4188,[0.76 1.51 0.46 0.2 ],10.39,0.2239,16
62,10.5317,7.7023,-2.7,2.1935,0.7083,0.5142,13.8243,59.8434,[1.21 0.98 0.76 0.52],10.22,0.2218,16
63,11.1666,9.5321,-2.0488,1.854,0.75,0.6573,13.3372,59.9531,[0.76 1.51 0.25 0.52],9.87,0.2197,16
64,9.865,6.6976,-2.87,2.3624,0.6875,0.4493,14.1823,62.4819,[1.39 1.51 0.76 0.27],10.2,0.2176,16
65,11.2802,7.2966,-2.3275,2.2041,0.7917,0.534,12.3917,64.9406,[1.39 1.33 0.25 0.52],9.8,0.2155,16
66,9.25,7.7776,-2.8125,1.7984,0.625,0.5342,13.5736,64.0719,[1.21 1.51 0.18 0.59],10.44,0.2134,16
67,11.42,8.8619,-1.6775,1.9096,0.7917,0.5983,14.659,59.8681,[1.21 1.56 0.74 0.57],10.19,0.2113,16
68,10.1367,9.0814,-0.4013,1.604,0.6667,0.5896,14.801,61.2274,[1.39 1.51 0.25 0.39],10.17,0.2092,16
69,9.9608,7.5996,-2.5912,2.4828,0.6667,0.5137,13.8014,60.0993,[1.29 1.51 0.86 0.47],9.94,0.2071,16
70,11.85,10.2755,1.9875,1.4525,0.7917,0.7019,14.5806,60.2861,[1.26 1.51 0.25 0.52],10.75,0.205,16
71,11.8,10.3791,-0.5825,1.6284,0.7917,0.6976,14.8076,58.7799,[1.21 1.51 0.86 0.56],10.17,0.2029,16
72,8.2742,5.9617,-1.93,1.666,0.5833,0.4349,11.3601,70.3007,[1.5  1.24 0.49 0.16],10.58,0.2008,16
73,10.5358,8.5163,-2.9,2.302,0.7083,0.5878,13.9247,61.4608,[1.29 1.51 0.22 0.52],10.43,0.1987,16
74,9.3305,5.7976,-2.9125,2.3255,0.625,0.4205,11.7247,60.4976,[1.26 1.04 0.22 0.52],9.87,0.1966,16
75,8.8975,6.7102,-2.7988,1.8637,0.6458,0.4882,12.0642,68.4493,[1.13 0.87 0.22 0.47],10.41,0.1945,16
76,10.74,8.1328,-0.0825,1.8009,0.75,0.579,12.9354,67.409,[1.93 1.08 0.58 0.52],10.39,0.1924,16
77,11.8633,8.9949,-2.0962,2.5386,0.7917,0.6073,13.3747,60.8309,[1.61 1.56 0.51 0.78],9.82,0.1903,16
78,7.6055,5.1237,-2.8825,1.7262,0.5417,0.3837,11.1302,69.142,[1.61 1.56 0.36 0.37],10.09,0.1882,16
79,9.9133,7.9264,-1.88,1.4684,0.6667,0.5389,13.8323,60.5132,[1.7  1.45 0.84 0.52],10.66,0.1861,16
80,8.8558,7.3589,1.1913,1.4314,0.5833,0.4983,13.6983,60.309,[1.61 1.56 0.51 0.64],9.82,0.184,16
81,12.285,10.5807,-0.6525,2.0398,0.8333,0.7113,14.9135,60.8295,[0.96 0.81 0.41 0.9 ],9.84,0.1819,16
82,13.5706,10.7216,-2.3775,2.7412,0.9167,0.7182,14.8576,59.816,[0.96 0.81 0.41 0.9 ],9.89,0.1798,16
83,8.8289,7.1513,-1.145,1.618,0.6389,0.4998,12.9921,63.0167,[0.96 0.81 0.41 1.45],7.7,0.1777,12
84,12.43,8.6248,0.3788,1.7216,0.8333,0.5639,14.6792,61.5854,[0.96 1.41 0.51 0.96],10.27,0.1756,16
85,10.5283,9.3082,-1.1575,2.4358,0.7083,0.6269,14.0514,61.5108,[1.47 0.81 0.62 0.43],10.45,0.1735,16
86,11.91,7.1391,-2.9275,2.0157,0.7917,0.4859,13.6194,60.1979,[1.47 0.81 1.07 0.99],10.55,0.1714,16
87,8.3283,4.1135,-2.69,2.1292,0.5833,0.3054,11.1389,64.458,[0.67 1.51 0.68 1.3 ],10.31,0.1693,16
88,10.8492,7.9407,-2.1925,2.1629,0.75,0.5444,13.7809,59.5073,[1.47 1.16 0.62 0.9 ],9.84,0.1672,16
89,8.499,6.0886,-2.5,1.4233,0.5833,0.4347,12.2139,60.3385,[1.33 1.4  0.67 0.83],10.07,0.1651,16
90,9.7806,7.0749,2.7213,1.2116,0.6667,0.4983,12.6851,60.6309,[1.33 1.47 0.67 0.83],9.96,0.163,16
91,11.6325,9.756,-2.6925,2.5938,0.7917,0.6734,13.433,62.3031,[0.74 1.45 0.67 0.9 ],10.02,0.1609,16
92,10.885,9.4545,-3.0212,2.6425,0.75,0.6573,14.1062,61.3062,[1.33 1.4  0.43 0.59],10.37,0.1588,16
93,9.8158,7.2991,3.405,1.1025,0.6667,0.5036,13.2826,62.0747,[1.33 1.21 0.43 0.73],9.9,0.1567,16
94,9.6086,8.6033,-2.5037,1.9177,0.625,0.566,13.9538,58.8597,[1.33 1.45 0.43 0.43],9.41,0.1546,16
95,12.8311,11.1379,-2.38,2.7124,0.875,0.7667,14.6267,57.9486,[1.33 1.45 0.43 0.43],9.56,0.1525,16
96,10.1108,8.4332,-2.3475,2.0798,0.6667,0.5469,14.2858,60.7844,[1.33 1.45 0.07 0.43],9.43,0.1504,16
97,10.9486,7.1954,-2.6763,1.9073,0.75,0.492,12.9753,58.1382,[1.35 1.5  0.56 0.43],9.72,0.1483,16
98,9.585,8.4969,-1.4175,1.6866,0.6562,0.5833,13.5167,65.966,[1.54 1.45 0.15 0.73],9.46,0.1462,16
99,8.0838,7.008,-2.3963,1.4084,0.5417,0.4753,13.4142,59.7299,[1.33 1.45 0.43 0.73],10.27,0.1441,16
100,10.3855,8.202,-2.89,2.6341,0.7083,0.5639,14.1753,60.8392,[1.54 1.07 0.15 0.73],9.75,0.142,16
101,9.3475,6.6921,-2.5125,1.7952,0.625,0.4366,13.1351,61.3656,[1.26 1.38 0.43 0.65],9.75,0.1399,16
102,9.2925,4.7253,-2.2738,2.9797,0.6562,0.3686,10.5733,61.8073,[1.54 1.45 0.43 0.65],9.83,0.1378,16
103,11.185,9.865,-1.615,2.3986,0.75,0.671,13.9212,62.5024,[1.26 1.38 0.43 0.44],9.89,0.1357,16
104,11.2008,10.2193,-0.3725,2.2617,0.75,0.6854,15.0448,60.0899,[1.33 1.54 0.43 0.65],10.35,0.1336,16
105,12.4937,11.1308,-1.0437,2.0218,0.875,0.7802,14.2795,58.8253,[1.33 1.54 0.43 0.65],9.74,0.1315,16
106,10.2514,9.2983,-2.716,2.3904,0.7,0.6449,13.5244,60.8381,[1.47 1.38 0.49 0.66],12.63,0.1294,20
107,9.4167,7.3377,-2.699,1.8539,0.6333,0.496,13.1461,60.8525,[1.54 1.07 0.43 0.65],12.64,0.1273,20
108,11.774,10.6152,5.292,1.2565,0.825,0.7371,14.0464,63.5739,[1.54 1.16 0.49 0.65],12.14,0.1252,20
109,10.2089,6.7189,-2.881,1.9418,0.6667,0.4547,13.3592,60.335,[1.41 1.16 0.28 0.64],12.41,0.1231,20
110,11.735,10.1792,6.607,1.1852,0.8,0.6869,14.9172,60.1339,[1.58 1.07 0.33 0.65],12.57,0.121,20
111,12.018,9.0685,-1.381,1.9353,0.8167,0.5983,14.4425,67.0553,[1.45 1.68 0.41 0.65],13.42,0.1189,20
112,9.7786,9.237,-1.204,1.4669,0.65,0.6225,13.9606,58.5269,[1.54 1.16 0.3  0.55],12.58,0.1168,20
113,9.3351,7.997,-1.679,1.4185,0.6333,0.5401,13.9492,60.0683,[1.41 1.09 0.28 0.79],13.65,0.1147,20
114,11.0674,10.0316,-2.14,2.519,0.75,0.6767,14.2969,58.7981,[1.41 1.09 0.28 0.79],14.67,0.1126,20
115,8.7867,6.2436,-2.816,1.7647,0.6,0.4247,13.0328,60.6503,[1.41 0.97 0.45 0.79],13.31,0.1105,20
116,9.4347,5.1916,-2.605,2.0278,0.6333,0.3908,11.3211,61.2856,[ 1.56  1.09 -0.44 -0.78],12.77,0.1084,20
117,8.6533,5.6299,1.854,1.7674,0.6167,0.4067,11.8042,61.9461,[ 0.45  0.95 -0.44 -0.78],12.36,0.1063,20
118,8.6297,6.4946,-0.9425,1.56,0.5833,0.4241,14.2448,60.6542,[1.41 1.09 0.2  0.49],10.14,0.1042,16
119,10.2458,6.1804,-1.09,2.4282,0.6667,0.4198,13.4701,60.7656,[ 0.15 -0.06  0.2  -0.15],11.09,0.1021,16
120,9.2433,6.6587,-1.8813,1.6403,0.6458,0.4569,13.2104,64.3111,[ 1.56  1.09 -0.54 -0.73],10.54,0.1,16
